date,description
29-May-2045,Pfingstmontag
03-Oct-2045,Tag der Deutschen Einheit
31-Oct-2045,Reformationstag
22-Nov-2045,Buß- und Bettag
25-Dec-2045,1. Weihnachtsfeiertag
26-Dec-2045,2. Weihnachtsfeiertag
01-Jan-2046,Neujahr
23-Mar-2046,Karfreitag
26-Mar-2046,Ostermontag
01-May-2046,Tag der Arbeit
03-May-2046,Christi Himmelfahrt
14-May-2046,Pfingstmontag
03-Oct-2046,Tag der Deutschen Einheit
31-Oct-2046,Reformationstag
21-Nov-2046,Buß- und Bettag
25-Dec-2046,1. Weihnachtsfeiertag
26-Dec-2046,2. Weihnachtsfeiertag
01-Jan-2047,Neujahr
12-Apr-2047,Karfreitag
15-Apr-2047,Ostermontag
01-May-2047,Tag der Arbeit
23-May-2047,Christi Himmelfahrt
03-Jun-2047,Pfingstmontag
03-Oct-2047,Tag der Deutschen Einheit
31-Oct-2047,Reformationstag
20-Nov-2047,Buß- und Bettag
25-Dec-2047,1. Weihnachtsfeiertag
26-Dec-2047,2. Weihnachtsfeiertag
01-Jan-2048,Neujahr
03-Apr-2048,Karfreitag
06-Apr-2048,Ostermontag
01-May-2048,Tag der Arbeit
14-May-2048,Christi Himmelfahrt
25-May-2048,Pfingstmontag
03-Oct-2048,Tag der Deutschen Einheit
31-Oct-2048,Reformationstag
18-Nov-2048,Buß- und Bettag
25-Dec-2048,1. Weihnachtsfeiertag
26-Dec-2048,2. Weihnachtsfeiertag
01-Jan-2049,Neujahr
16-Apr-2049,Karfreitag
19-Apr-2049,Ostermontag
01-May-2049,Tag der Arbeit
27-May-2049,Christi Himmelfahrt
07-Jun-2049,Pfingstmontag
03-Oct-2049,Tag der Deutschen Einheit
31-Oct-2049,Reformationstag
17-Nov-2049,Buß- und Bettag
25-Dec-2049,1. Weihnachtsfeiertag
26-Dec-2049,2. Weihnachtsfeiertag
01-Jan-2050,Neujahr
08-Apr-2050,Karfreitag
11-Apr-2050,Ostermontag
01-May-2050,Tag der Arbeit
19-May-2050,Christi Himmelfahrt
30-May-2050,Pfingstmontag
03-Oct-2050,Tag der Deutschen Einheit
31-Oct-2050,Reformationstag
16-Nov-2050,Buß- und Bettag
25-Dec-2050,1. Weihnachtsfeiertag
26-Dec-2050,2. Weihnachtsfeiertag
01-Jan-2051,Neujahr
31-Mar-2051,Karfreitag
03-Apr-2051,Ostermontag
01-May-2051,Tag der Arbeit
11-May-2051,Christi Himmelfahrt
22-May-2051,Pfingstmontag
03-Oct-2051,Tag der Deutschen Einheit
31-Oct-2051,Reformationstag
22-Nov-2051,Buß- und Bettag
25-Dec-2051,1. Weihnachtsfeiertag
26-Dec-2051,2. Weihnachtsfeiertag
01-Jan-2052,Neujahr
19-Apr-2052,Karfreitag
22-Apr-2052,Ostermontag
01-May-2052,Tag der Arbeit
30-May-2052,Christi Himmelfahrt
10-Jun-2052,Pfingstmontag
03-Oct-2052,Tag der Deutschen Einheit
31-Oct-2052,Reformationstag
20-Nov-2052,Buß- und Bettag
25-Dec-2052,1. Weihnachtsfeiertag
26-Dec-2052,2. Weihnachtsfeiertag
01-Jan-2053,Neujahr
04-Apr-2053,Karfreitag
07-Apr-2053,Ostermontag
01-May-2053,Tag der Arbeit
15-May-2053,Christi Himmelfahrt
26-May-2053,Pfingstmontag
03-Oct-2053,Tag der Deutschen Einheit
31-Oct-2053,Reformationstag
19-Nov-2053,Buß- und Bettag
25-Dec-2053,1. Weihnachtsfeiertag
26-Dec-2053,2. Weihnachtsfeiertag
01-Jan-2054,Neujahr
27-Mar-2054,Karfreitag
30-Mar-2054,Ostermontag
01-May-2054,Tag der Arbeit
07-May-2054,Christi Himmelfahrt
18-May-2054,Pfingstmontag
03-Oct-2054,Tag der Deutschen Einheit
31-Oct-2054,Reformationstag
18-Nov-2054,Buß- und Bettag
25-Dec-2054,1. Weihnachtsfeiertag
26-Dec-2054,2. Weihnachtsfeiertag
01-Jan-2055,Neujahr
16-Apr-2055,Karfreitag
19-Apr-2055,Ostermontag
01-May-2055,Tag der Arbeit
27-May-2055,Christi Himmelfahrt
07-Jun-2055,Pfingstmontag
03-Oct-2055,Tag der Deutschen Einheit
31-Oct-2055,Reformationstag
17-Nov-2055,Buß- und Bettag
25-Dec-2055,1. Weihnachtsfeiertag
26-Dec-2055,2. Weihnachtsfeiertag
01-Jan-2056,Neujahr
31-Mar-2056,Karfreitag
03-Apr-2056,Ostermontag
01-May-2056,Tag der Arbeit
11-May-2056,Christi Himmelfahrt
22-May-2056,Pfingstmontag
03-Oct-2056,Tag der Deutschen Einheit
31-Oct-2056,Reformationstag
22-Nov-2056,Buß- und Bettag
25-Dec-2056,1. Weihnachtsfeiertag
26-Dec-2056,2. Weihnachtsfeiertag
01-Jan-2057,Neujahr
20-Apr-2057,Karfreitag
23-Apr-2057,Ostermontag
01-May-2057,Tag der Arbeit
31-May-2057,Christi Himmelfahrt
11-Jun-2057,Pfingstmontag
03-Oct-2057,Tag der Deutschen Einheit
31-Oct-2057,Reformationstag
21-Nov-2057,Buß- und Bettag
25-Dec-2057,1. Weihnachtsfeiertag
26-Dec-2057,2. Weihnachtsfeiertag
01-Jan-2058,Neujahr
12-Apr-2058,Karfreitag
15-Apr-2058,Ostermontag
01-May-2058,Tag der Arbeit
23-May-2058,Christi Himmelfahrt
03-Jun-2058,Pfingstmontag
03-Oct-2058,Tag der Deutschen Einheit
31-Oct-2058,Reformationstag
20-Nov-2058,Buß- und Bettag
